2024-05-20 22:41:09,002 - INFO - Time: 2024-05-20 22:41:09.002350, OrderId: 1000513509018, Instruction: BUY_TO_COVER, Quantity: 100.0, Position: 0.0
2024-05-20 22:41:09,002 - INFO - Time: 2024-05-20 22:41:09.002411, OrderId: 1000513509030, Instruction: BUY_TO_COVER, Quantity: 100.0, Position: 0.0
2024-05-20 22:41:09,002 - INFO - Time: 2024-05-20 22:41:09.002473, OrderId: 1000513509033, Instruction: BUY_TO_COVER, Quantity: 80.0, Position: 0.0
2024-05-20 22:41:09,002 - INFO - Time: 2024-05-20 22:41:09.002535, OrderId: 1000513509036, Instruction: BUY, Quantity: 60.0, Position: 60.0
2024-05-20 22:41:09,002 - INFO - Time: 2024-05-20 22:41:09.002577, OrderId: 1000513509036, Instruction: BUY, Quantity: 40.0, Position: 100.0
2024-05-20 22:41:09,002 - INFO - Time: 2024-05-20 22:41:09.002638, OrderId: 1000513509049, Instruction: BUY, Quantity: 100.0, Position: 200.0
2024-05-20 22:41:09,002 - INFO - Time: 2024-05-20 22:41:09.002700, OrderId: 1000513509053, Instruction: SELL, Quantity: 100.0, Position: 100.0
2024-05-20 22:41:09,002 - INFO - Time: 2024-05-20 22:41:09.002763, OrderId: 1000513509057, Instruction: SELL, Quantity: 100.0, Position: 0.0
2024-05-20 22:41:09,002 - INFO - Time: 2024-05-20 22:41:09.002825, OrderId: 1000513509062, Instruction: SELL, Quantity: 20.0, Position: -20.0
2024-05-20 22:41:09,002 - INFO - Order to FLATTEN: Time: 2024-05-20 22:41:09.002866, OrderId: 1000513509062, Instruction: SELL, Quantity: 20.0, Position: -20.0
